,Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Sugar Alcohol,Protein,Vitamin A,Vitamin C,Calcium,Iron,class
141,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
142,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
143,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
144,121.0,0,0.0,0.0,0.0,0.0,0,7.0,3.8,0.0,1.4,0,0.1,0,0,0,0,0
145,121.0,0,0.0,0.0,0.0,0.0,0,7.0,3.8,0.0,1.4,0,0.1,0,0,0,0,0
146,121.0,0,0.0,0.0,0.0,0.0,0,7.0,3.8,0.0,1.4,0,0.1,0,0,0,0,0
147,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
148,121.0,0,0.0,0.0,0.0,0.0,0,7.0,3.8,0.0,1.4,0,0.1,0,0,0,0,0
149,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
150,121.0,0,0.0,0.0,0.0,0.0,0,7.0,3.8,0.0,1.4,0,0.1,0,0,0,0,0
151,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
152,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
153,121.0,0,0.0,0.0,0.0,0.0,0,7.0,3.8,0.0,1.4,0,0.1,0,0,0,0,0
154,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
155,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
156,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
157,129.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
158,129.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
159,129.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
160,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
161,129.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
